version,category,case_id,image_path,mask_path,width,height,threshold_percent,tp,fp,fn,tn,mIoU_percent,mDice_percent,background_IoU_percent,background_Dice_percent,forgery_IoU_percent,forgery_Dice_percent,accuracy_percent,false_positive_rate_percent,det_score,det_pred_label,det_correct
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_131.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_131.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_131.jpg_tif.png,500,652,50.0,88629,1669,802,234900,98.123305,99.050968,98.959014,99.476783,97.287596,98.625152,99.242025,0.705502,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_132.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_132.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_132.jpg_tif.png,500,652,50.0,86499,1638,474,237389,98.367358,99.175516,99.118167,99.557131,97.616549,98.793901,99.352147,0.685278,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_170.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_170.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_170.jpg_tif.png,500,652,50.0,70664,1294,275,253767,98.606689,99.296909,99.385516,99.691811,97.827863,98.902006,99.518712,0.50733,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_171.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_171.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_171.jpg_tif.png,500,652,50.0,60776,651,608,263965,98.747904,99.368468,99.525307,99.762089,97.970501,98.974848,99.613804,0.246017,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_177.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_177.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_177.jpg_tif.png,500,652,50.0,73128,777,326,251769,99.038954,99.516458,99.563811,99.781429,98.514098,99.251488,99.661656,0.307667,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_190.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_190.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_190.jpg_tif.png,500,652,50.0,66281,1902,392,257425,97.885748,98.927668,99.116738,99.55641,96.654758,98.298926,99.296319,0.733437,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_192.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_192.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_192.jpg_tif.png,500,652,50.0,67707,862,576,256855,98.68179,99.335043,99.443268,99.720857,97.920312,98.94923,99.558896,0.334475,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_199.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_199.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_199.jpg_tif.png,500,652,50.0,69658,995,331,255016,98.807348,99.398936,99.482722,99.74069,98.131973,99.057181,99.593252,0.388655,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_31.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_31.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_31.jpg_tif.png,500,652,50.0,66235,664,551,258550,98.865468,99.428367,99.53227,99.765587,98.198666,99.091147,99.627301,0.256159,,,
v1.0.6,face,face/tp_face_morphing_0.jpg_IN_37.jpg_tif,/home/panuwat/Pictures/Test-Cases/with_mask/face/images/test/tp_face_morphing_0.jpg_IN_37.jpg_tif.png,/home/panuwat/Pictures/Test-Cases/with_mask/face/annotations/test/tp_face_morphing_0.jpg_IN_37.jpg_tif.png,500,652,50.0,71906,1034,436,252624,98.709047,99.349036,99.421474,99.709898,97.99662,98.988175,99.54908,0.407635,,,
